cid,smiles,NR3C1
854343,Cc1cccc(c1)c2nnc(SCC(=O)O)n2CC=C,0
3081,CC1(C)OC(=O)NC1=O,1
54615002,COc1ccc(cc1)S(=O)(=O)Nc2ccc3O[C@@H](C)CCCCO[C@H](CN(C)C)[C@H](C)CN([C@@H](C)CO)C(=O)c3c2,0
54654536,CN1[C@@H]2CC[C@H](CC(=O)NCC3CCCCC3)O[C@@H]2COc4ccc(NC(=O)c5cnccn5)cc4C1=O,0
3121,CCCC(CCC)C(=O)O,0
54645991,OC[C@H]1O[C@@H](CC(=O)N2CCc3ccccc3C2)C[C@@H]4[C@H]1Oc5ccc(NS(=O)(=O)c6ccc(F)cc6)cc45,0
54615076,COc1ccc(NC(=O)Nc2ccc3O[C@H](C)CCCCO[C@H](CN(C)CC4CC4)[C@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1,0
54638346,OC[C@H]1O[C@@H](CC(=O)NCCCN2CCOCC2)CC[C@H]1NC(=O)Nc3ccc4OCOc4c3,0
54637692,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2c(C)onc2C)OCc3ccccc3c4c(C1=O)n(C)c5ccccc45,0
54646315,COc1cccc(c1)S(=O)(=O)Nc2ccc3O[C@@H]4[C@H](CO)O[C@H](CC(=O)NCc5ccccc5F)C[C@@H]4c3c2,0
167715,CCCN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,0
