,cid,smiles,NR3C1
87,3157,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,0
88,44629407,CCn1cc(CN2CCCC(C2)C(=O)c3cccc(c3)C(F)(F)F)cn1,0
89,3549,CCOC(=O)C(C#N)C1C(=C(N)Oc2ccc(Br)cc12)C(=O)OCC,0
90,1548887,CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c3ccc(cc3)S(=O)C,1
91,10040286,OC12C3C4CC5C6C4C1C6C(C35)N2CCc7cccc(F)c7,0
92,3915969,CC1=NN(C(=O)C1Cc2ccccc2)c3nc4ccccc4[nH]3,0
93,4078,CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)S(=O)C,0
94,4694339,Clc1ccc(cn1)C2=CCCC3CCC2N3,0
95,2081,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0
96,108046,OC(CCCN1CCN(CC1)c2ncc(F)cn2)c3ccc(F)cc3,0
97,3951,CC(=CCc1c(O)c(CC=C(C)C)c2OC(CC(=O)c2c1O)c3ccc(O)cc3)C,0
98,193949,CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,0
99,5283344,CCCCCC(O)\C=C\C=O,0
100,5702210,CCCC(=O)Nc1ncnc2c1ncn2C3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3OC(=O)CCC,0
101,3290,CCN(CC)C(C)CN1c2ccccc2Sc3ccccc13,0
102,4236,NC(=O)CS(=O)C(c1ccccc1)c2ccccc2,0
103,41774,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@@H](O)[C@H](O)[C@H]4O,0
104,2286,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,0
105,4865,COc1cc(cc(OC)c1OC)C2C3C(COC3=O)C(O)c4cc5OCOc5cc24,0
106,44142103,COc1ccc(OC)c(c1)c2nnc3SCC(=Nn23)c4ccc(OC)c(OC5CCOC5)c4,0
107,92214,CC1NCCc2ccccc12,0
108,2581,CC(C(=O)O)c1ccc2c(c1)[nH]c3ccc(Cl)cc23,0
109,4284720,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,0
110,16218996,CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1(O)C(=O)CO,0
111,54766,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,0
112,3672,CC(C)Cc1ccc(cc1)C(C)C(=O)O,1
113,4131581,CCOC(=O)C(C)Oc1cccc2C(=O)N(CC(=O)Nc3ccc(OC)cc3)C=Cc12,0
114,46912148,CC1CN(CCN1C(=O)c2ccc(Cl)cc2)c3ccnc4cc(Cl)ccc34,0
115,16759579,COc1ccc(cc1COc2ccc(NC(=O)C)cc2)C3Nc4ccccc4C(=O)N3Cc5ccccc5,0
116,40634,Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)O,0
117,6839,CN1C(=O)CC(C1=O)c2ccccc2,0
118,20393,CCCCC(CC)COC(=O)c1ccccc1C(=O)O,0
119,12004949,COc1ccc(cc1)C(N(C(=O)CCl)c2cccc(Cl)c2)C(=O)NC3CCCCC3,0
120,1830,Nc1ncnc2c1c(I)cn2C3OC(CO)C(O)C3O,0
121,2775510,CN(C)CC(O)Cn1c2ccc(Br)cc2c3cc(Br)ccc13,0
122,3607,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,0
123,12004950,COc1ccc(cc1)C(N(C(=O)CCl)c2ccc(Cl)cc2)C(=O)NC3CCCCC3,0
124,2729027,OC(CN1CCNCC1)Cn2c3ccc(Br)cc3c4cc(Br)ccc24,0
125,1219,CCCN(CCC)C1CCc2ccc(O)cc2C1,0
126,596,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,0
127,6708558,CC(=O)Oc1ccc2C3c4cc(OC(=O)C)c(OC(=O)C)c(OC(=O)C)c4CC3(O)COc2c1OC(=O)C,0
128,40486,CNc1ccc2oc(C[C@@H]3OC4(CC[C@@H]3C)O[C@H](C(C)C(=O)c5ccc[nH]5)[C@H](C)C[C@H]4C)nc2c1C(=O)O,0
129,5584,CC(CN(C)C)CN1c2ccccc2CCc3ccccc13,0
130,6436219,C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)C3CSC(=O)N3)OC(=O)\C=C(\C)/CC\C=C/1,0
131,5673,CCOC(=O)C1=CC2(CC)CCCN3CCc4c(C23)n1c5ccccc45,0
132,4184,CN1CCN2C(C1)c3ccccc3Cc4ccccc24,0
133,4595,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,0
134,600670,CC1(C)Oc2ccc3C=CC(=O)Oc3c2CC1O,0
135,2977752,CC(Sc1ccc(C)cc1)C(=O)Nc2nc[nH]n2,0
136,42574,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c3cc(I)cc(I)c3O,0
137,2249,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,1
138,2949,CC12Cc3cnoc3C=C1CCC4C2CCC5(C)C4CCC5(O)C#C,0
139,3473417,Cc1ccc(NC(=O)C2CC3CCC2C3)c(C)c1,0
140,50897786,COc1ccc(cc1COc2c(C)cccc2C)C3Nc4ccccc4C(=O)N3Cc5cccs5,0
141,24747278,COc1ccc(CC2NCCC3=CC(=O)CCC23)cc1O,0
142,44142077,ON1C(Nc2ccccc2C1=O)c3oc(cc3)c4ccc(cc4)C#N,0
143,4891,O=C(C1CCCCC1)N2CC3N(CCc4ccccc34)C(=O)C2,1
144,2162,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,0
145,5853,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1
146,2318,CC(Cc1cccc(c1)C(F)(F)F)NCCOC(=O)c2ccccc2,0
147,4679,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,0
148,650573,COc1ccc(cc1OC)c2nnn(CC(=O)N(C(C)C(=O)NC3CCCC3)C4CCCCC4)n2,0
149,197690,CC#CCOC(=O)c1c(C)nc2sc3CC(O)CCc3c2c1N,0
150,3627,CN1CCCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,0
151,4826,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,0
152,628698,CC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,0
